"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering","U.S. National Science Foundation","","2026-08-07","2025-05-21","2000000","6000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-562","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24562","artificial intelligence; data; infrastructure; stem; science; technology; engineering; mathematics","The Centers of Research Excellence in Science and Technology (CREST) program provides support to enhance the research capabilities of minority-serving institutions (MSIs) as defined in this solicitation's Eligibility section, through effective integration of education and research. The CREST program, composed of the CREST Centers, the CREST Postdoctoral Research Program, and the projects supported by this CREST-RISE solicitation, promotes the development of new knowledge, enhancements of the research productivity of individual faculty and postdoctoral scholars, and an expanded presence of research doctoral students in science, technology, engineering, and mathematics (STEM) disciplines, especially those from underrepresented groups. CREST-RISE is the component of the CREST program that supports the expansion of institutional research capacity by increasing the strength of institutional graduate programs and the successful production of research doctoral students, especially those from groups underrepresented in STEM. The CREST-RISE component supports STEM research doctoral programs in all NSF supported areas and encourages proposals in areas of national interest, such as artificial intelligence, data science and analytics; advanced materials, manufacturing, robotics; cybersecurity; plant genetics/agricultural technologies; quantum information sciences; nanotechnology, semiconductors/microelectronics technologies; climate change and clean energy. CREST-RISE projects must have a direct connection to the long-term plans of the host department(s) and the institution's strategic plan and mission. Project plans should emphasize activities designed to increase the production of research doctoral students, especially those underrepresented in STEM as well as expand institutional research capacity. The goals of CREST-RISE are to increase: 1) the number of STEM research doctoral programs at MSIs (as defined in the Eligibility section), 2) the number of STEM research doctoral students graduating from MSIs, especially those from groups underrepresented in STEM, and 3) institutional research capacity to increase doctoral students' graduation rates.To achieve these goals, the CREST-RISE program includes three tracks as follows: CREST-RISE STEM Doctoral Programs Support Initiative (CREST-RISE DPSI) CREST-RISE Research Advancement and Development (CREST-RISE RAD) CREST-RISE Equipment & Instrumentation (CREST-RISE E&I)"
"OSERS-OSEP: National Center on Academic Interventions Assistance Listing Number (ALN): 84.326Q","Holly Clark Management and Program Analyst","","2026-08-10","2026-06-15","3700000","3700000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","80","ED-GRANTS-061526-002","https://www.grants.gov/search-results-detail/362807","evidence; literacy; assessment; implementation; postsecondary; mathematics","Program Description: The purpose of the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities program is to promote academic achievement and to improve results for children with disabilities by providing technical assistance (TA), supporting model demonstration projects, disseminating useful information, and implementing activities that are supported by scientifically based research. The 2024 National Assessment of Education Progress results illustrate the significant achievement gaps in reading and mathematics for students with disabilities. [1] Local educational agencies (LEAs) and schools need to continuously improve their systems and practices to address achievement gaps of students with disabilities and support educators’ implementation of evidence-based literacy and mathematics instruction that meet the individualized needs of students with disabilities so they are prepared for success in school and postsecondary opportunities. Through this competition and to address these needs, the Department intends to establish a National Center on Academic Interventions. [1] The National Assessment of Educational Progress (2024). https://www.nationsreportcard.gov/dashboards/achievement_gaps.aspx . ALN: 84.326Q Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
"EPSCoR Research Infrastructure Improvement Program: EPSCoR Research Incubators for STEM Excellence","U.S. National Science Foundation","","2026-08-11","2024-12-14","","31500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-522","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25522","infrastructure; outcomes; workforce; implementation; stem; science; technology; engineering","The Established Program to Stimulate Competitive Research (EPSCoR) supports the mission of the U.S. National Science Foundation (NSF) by promoting nationwide scientific progress. Through this program, NSF fosters partnerships among academic institutions, government entities, industry, and non-profits. These collaborations aim to drive long-term improvements in research infrastructure, enhance R&D capacity, and boost the research competitiveness of eligible EPSCoR jurisdictions, including states, territories, and commonwealths. A jurisdiction's research ecosystem is the interconnected network of institutions, organizations, researchers, trainees, community stakeholders, and resources that contribute to the process of research and innovation that advances fundamental knowledge, generates use-inspired products, and ultimately cultivates beneficial societal impacts for a jurisdiction. E-RISE supports hypothesis-driven or problem-driven research and fosters the development of research teams and products in a scientific topical area that aligns with a jurisdiction's research ecosystem and priorities, as detailed in the jurisdiction's Science and Technology (S&T) Plan or drawn from other jurisdiction plans, reports, or publications prepared by appropriate authorities or bodies.E-RISE invitesinnovativeproposalswithin the chosen research area thatwillleadto development and implementation of sustainable broad networks of individuals, institutions, and organizations, and that will transform the science, technology, engineering and mathematics (STEM) research capacity and competitiveness in a jurisdiction. E-RISE is particularly interested in proposals that justify exploring emerging or interdisciplinary research areas with high potential impact. E-RISE projects must have a clearly articulated research goal that will lead to new knowledge by addressing a clear hypothesis or problem. The E-RISE projectshould promote (i) areas of research capacity-building within a chosen research topic; (ii) development of a skilled workforce that is relevant to the research topic, as well as the project and its outcomes; (iii) a culture of collaboration and engagement across different types of academic institutions and organizations, as well as non-academic sectors (e.g., industry and government); (iv) integration of the research with societal impacts; and (v) a clear sustainability plan to preserve the resulting research incubator's team and products beyond E-RISE funding."
"Research Training Groups in the Mathematical Sciences","U.S. National Science Foundation","","2026-08-11","2024-05-03","600000","12000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","86","24-570","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24570","professional development; undergraduate; science; mathematics","The long-range goal of the Research Training Groups in the Mathematical Sciences (RTG) program is to strengthen the nation's scientific competitiveness by increasing the number of well-prepared U.S. citizens, nationals, and permanent residents who pursue careers in the mathematical sciences, be they in academia, government, or industry. The RTG program supports efforts to improve graduate student research training and professional development through structured groups pursuing collaborative research. In addition to graduate student trainees working with faculty members, RTG supported research teams may, but are not required to, include undergraduate or postdoctoral trainees. The RTG program invites submissions in all fields within mathematical sciences; especially encouraged in 2024-2025 are those that align and integrate research in mathematics and statistics with emerging areas such asArtificial Intelligence, Biotechnology,Quantum Computing, and Cybersecurity."
"Cognitive Neuroscience","U.S. National Science Foundation","","2026-08-17","2023-10-12","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","90","PD-24-1699","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=506244","data; stem; undergraduate; career; science","The Cognitive Neuroscience (CogNeuro) program seeks to fund proposals that can advance our understanding of the neural mechanisms underlying human cognition and behavior. Funded proposals typically relate precise and rich quantifications of physiological responses and behavior in ways that advance theory (Intellectual Merit). Funded proposal also typically strengthen the field through, for example, outreach, mentoring the next generation of diverse cognitive neuroscientists, and/or increasing awareness and utilization of the research the field produces (Broader Impacts). Intellectual Merit In general, successful proposals provide a theoretical motivation and consist of a series of experiments/analyses that test the differential predictions of that theory; they go beyond quantifying physiology during certain tasks and behaviors. Research topics considered for funding include but are not limited to: perception, recognition, categorization, implicit and explicit memory, working memory, attention, language, decision-making, and social reasoning. Commensurate with the inherently multidisciplinary nature of the field and the limitations of any single technique, a wide variety of physiological methods are considered, including but not limited to: neuroimaging (e.g., fMRI, EEG, MEG), non-invasive stimulation (e.g. TMS, tDCS), lesion analysis, intracranial recording, optogenetics, genetics, optical imaging, computational modeling, and pharmacological interventions in both human and non-human primates and other animal models. The program is particularly interested in proposals that achieve or enable convergence across multiple techniques. Critically, proposals will be returned without review if they are focused on: 1) either behavior or physiology and lack a specific link between them, 2) understanding clinical populations, 3) non-human animals without a clear benefit to our understanding of humans. Broader Impacts In general, successful proposals make impacts beyond traditional academic routes, such as publishing research or teaching undergraduate courses. Strong broader impacts can be quite varied but will typically involve specific efforts strengthening the field and/or increasing its visibility that leverage the characteristics of the institution, department, and/or researcher. Consider the following non-exhaustive examples: 1) STEM education and outreach, particularly in underserved communities, 2) directly involving undergraduates and high-school students in research, 3) making tools and applications for the general public, 4) science journalism or advocacy. These efforts can, but need not, directly relate to the proposed research. It is also encouraged to include budget for these efforts if warranted. Mentoring Plans Strong mentoring plans generally go beyond inclusion in standard lab activities and incorporate specific ideas for forwarding the careers of young scientists and trainees that leverage the setting and content of the proposed research. General Directions Prior to the development of a full proposal, investigators are strongly encouraged to submit a one-page summary of the proposed research to a program director to evaluate its appropriateness for the CogNeuro program. Please contact the director early enough to allow for revisions and incorporation what may be extensive feedback. The summary should include an overview of your research and statements of intellectual merit and broader impacts, the two NSF review criteria. See the Merit Review Fact Sheet for more important facts about the NSF merit review process. Please read the NSF Proposal & Award Policies & Procedures Guide (PAPPG) carefully, as it will be strictly adhered to even if other directives or communications appear to contradict it. Currently, the average standard/CAREER award size is $175,000-$225,000 per year for 3-5 years. Awards in excess of $1.0 million are exceptionally rare and almost always multidisciplinary. Please be judicious in your requests, understanding the realities of the limited funding available for all proposals. See the Listing of Active Cognitive Neuroscience Awards for additional award information. Declined proposals are ineligible for resubmission until a minimum of one year has passed since the due date of their initial submission, unless specifically allowed by the PO in the feedback received during the decline process. This moratorium allows investigators the time required to digest the results of the merit review and revise their proposal accordingly. A proposal that has not been substantially revised will be returned without review as per the PAPPG. PIs are strongly encouraged to submit the Single Copy Document titled ""List of Suggested Reviewers"" with their full proposal. Sharing of data and other materials is an expectation for funded research. Please consult the NSF Dear Colleague Letter: Effective Practices for Data for more details. Interested in talking with a program director? Send a one-page description of the proposed research to sbe-cogneuro@nsf.gov."
"Research Experiences for Undergraduates","U.S. National Science Foundation","","2026-08-19","2023-06-29","500000","84800000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","52","23-601","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23601","undergraduate; science","The Research Experiences for Undergraduates (REU) program supports active research participation by undergraduate students in any of the areas of research funded by the National Science Foundation. REU projects involve students in meaningful ways in ongoing research programs or in research projects specifically designed for the REU program. This solicitation features two mechanisms for supporting student research: REU Sites are based on independent proposals to initiate and conduct projects that engage a number of students in research. REU Sites may be based in a single discipline or academic department or may offer interdisciplinary or multi-department research opportunities with a coherent intellectual theme. REU Supplements may be included as a component of proposals for new or renewal NSF grants or cooperative agreements or may be requested for ongoing NSF-funded research projects. REU projects with an international dimension are welcome. Undergraduate student participants in either REU Sites or REU Supplements must be U.S. citizens, U.S. nationals,or U.S. permanent residents. Students do not apply to NSF to participate in REU activities, and NSF does not select students for the opportunities. Investigators who receive REU awards establish their own process for receiving and reviewing applications and selecting students, and students follow the instructions provided by each REU Site or REU Supplement to apply. (In some cases, investigators pre-select students for REU Supplements.) To identify appropriate REU Sites, students should consult the directory of active REU Sites on the Web at https://www.nsf.gov/crssprgm/reu/reu_search.cfm ."
"Robert Noyce Teacher Scholarship Program","U.S. National Science Foundation","","2026-08-25","2023-05-09","3250000","68000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","96","23-586","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23586","teacher; district; stem; k-12; undergraduate; retention; science; technology","The National Science FoundationRobert Noyce Teacher Scholarship Program (Noyce)invites innovative proposals that address the critical need for recruiting, preparing, and retaining highly effective elementary and secondary mathematics and science teachers and teacher leaders who persist as classroom teachers in high-need Local Education Agencies (LEA), (a.k.a. high-need school district). To achieve this goal, Noyce supports talented science, technology, engineering, and mathematics (STEM) undergraduate majors and professionals to become effective K-12 STEM teachers. It also supports experienced, exemplary K-12 STEM teachers to become teacher leaders who continue as classroom teachers in high-need school districts. NSF welcomes submission of proposals to this funding opportunity that include the participation of the full spectrum of talent in STEM, e.g., as PI, co-PI, senior personnel, postdoctoral scholars, graduate or undergraduate students or trainees. In addition, the Noyce program supports research on the effectiveness and retention of K-12 STEM teachers in high-need school districts. Noyce offers four program tracks:Track 1: The RobertNoyce Teacher Scholarships and Stipends (S&S) Track, Track 2: The NSF Teaching Fellowships (TF) Track, Track 3: The NSFMaster Teaching Fellowships (MTF) Track, and Track 4: The Noyce Research Track. In addition,Capacity Buildingproposals are accepted from proposers intending to develop a proposal in any of the program's tracks. Noyce also supports conference proposals focused on improving STEM teacher preparation. Proposals that support authentic Research Experiences in STEM Settings (RESS) for Noyce and/or non-Noyce pre-service and in-service STEM teachers are also invited. Table 1:Categories of Noyce Funding* Intended Outcome Eligible Scholars and Fellows Length of Required Teaching Commitment Track 1: Scholarships and Stipends (S&S) up to $1,200,000 with a duration of up to 5 years Develop K-12 STEM teachers in high-need school districts (a.k.a. high-need LEA) Noyce-eligible STEM undergraduate majors & STEM professionals 2 years/year for which scholarship support was received Track 2: Teaching Fellowships (TF) up to $3,000,000, with a duration of up to 6 years Noyce-eligible STEM professionals 4 years Track 3: Master Teaching Fellowships (MTF) up to $3,000,000, with a duration of up to 6 years Develop K-12 STEM teacher leaders in high- need school districts(a.k.a. high-need LEA) Experienced and exemplary K-12 STEM teachers with a bachelor's degree or master's degree in their field 5 years Track 4: Noyce Research up to $1,000,000, with a duration of up to 5 years Research effectiveness and retention of K-12 STEM teachers in high-need school districts(a.k.a. high-need LEA) N/A N/A Capacity Building up to $100,000 , with a duration of up to 1 year Prepare for future Noyce submission N/A N/A *Awards may exceed the budget maximums through Collaboration Incentives for engagement of community colleges in Capacity Building or Track 1 projects, engagement with Noyce awards in Track 4 projects. See Section III: Award Information for additional details. The budgets for conference proposals or for authentic Research Experiences in STEM Settings should be commensurate with the proposed work and must be discussed with a Noyce Program Officer prior to submission."
"Methodology, Measurement, and Statistics","U.S. National Science Foundation","","2026-08-27","2019-04-10","","3760000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","82","19-575","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf19575","career; science; statistical","The Methodology, Measurement, and Statistics (MMS) Program is an interdisciplinary program in the Directorate for Social, Behavioral, and Economic Sciences that supports the development of innovative analytical and statistical methods and models for those sciences. MMS seeks proposals that are methodologically innovative, grounded in theory, and have potential utility for multiple fields within the social, behavioral, and economicsciences. As part of its larger portfolio, the MMS Program partners with a consortium of federal statistical agencies to support research proposals that further the production and use of official statistics. The MMS Program provides support through a number of different funding mechanisms. The following mechanisms are addressed in this solicitation: Regular Research Awards Awards for conferences and community-development activities Doctoral Dissertation Research Improvement (DDRI) Grants Research Experience for Undergraduates (REU) Supplements MMS also supports Faculty Early Career Development (CAREER) awards. Please see the CAREER Program Web Site for more informationabout this activity."
"Pathways to Enable Secure Open-Source Ecosystems","U.S. National Science Foundation","","2026-09-01","2026-02-19","","40000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","26-506","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26506","ai; artificial intelligence; machine learning; data; open; privacy; learning; science","The Pathways to Enable Secure Open-Source Ecosystems (PESOSE) program supports the translation of open-source science and engineering-focused research products into safe and sustainable ecosystems that address national and societal challenges. Open-source tools such as software, hardware, machine learning models, languages, and data platforms are designed to be shared as they are publicly-accessible and modifiable. These tools spark innovation in critical fields as varied as artificial intelligence (AI) and cloud computing, banking, healthcare, research, education, next-gen manufacturing, mobility, and National security (including cybersecurity). PESOSE supports the creation of managing organizations for these ecosystems, ensuring strong governance, distributed development, and broad user communities across academia, industry, and government. PESOSE also supports enhancements to the safety, security, and privacy of Open-Source Ecosystems (OSE) by addressing significant vulnerabilities, both technical and socio-technical, to improve the resistance of the ecosystem against threats. This solicitation seeks three types of proposals, allowing teams to propose specific activities to:1) scope and planthe establishment of an OSE, 2)establishand expand a sustainable OSE based on a robust, promising open-source product that meets an emergent societal or national need, and 3) improve the safety, security, and privacy of an existing OSE and its products."
"Tribal Colleges and Universities Program","U.S. National Science Foundation","","2026-09-01","2021-06-24","3500000","10799836","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","21-595","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21595","artificial intelligence; data; infrastructure; learning; assessment; workforce; professional development; implementation","The Tribal Colleges and Universities Program (TCUP) provides awards to federally recognized 1 Tribal Colleges and Universities, Alaska Native-serving institutions, and Native Hawaiian-serving institutions to promote high quality science (including sociology, psychology, anthropology, linguistics, economics and bioeconomics, statistics, and other social and behavioral sciences; natural sciences; computer science, including, but not limited to, artificial intelligence, quantum information science, and cybersecurity), technology, engineering and mathematics (STEM), STEM education, research, and outreach. Support is available to TCUP-eligible institutions (see the Additional Eligibility subsection of Section IV of this solicitation) for transformative capacity-building or community engagement projects through Instructional Capacity Excellence in TCUP Institutions (ICE-TI), Targeted STEM Infusion Projects (TSIP),TCUP for Secondary and Elementary Teachers in STEM (TSETS), TCU Enterprise Advancement Centers (TEA Centers), Cyberinfrastructure Health, Assistance, and Improvements (CHAI), and Preparing for TCUP Implementation (Pre-TI). Collaborations led by TCUP institutions that involve non-TCUP institutions of higher education are supported through TCUP Partnerships, with the participation of other NSF programs to support the work of non-TCUP institutions. Finally, research studies that further the scholarly activity of individual faculty members are supported through Small Grants for Research (SGR). Through the opportunities highlighted above, as well as collaborations with other National Science Foundation (NSF) divisions and directorates, and other organizations,TCUPaims toincrease Native individuals' participation in STEM careers, improve the quality of STEM programs atTCUP-eligible institutions, and facilitate the development of a strong STEM enterprise in TCUP institutions' service areas. TCUP supports transformative capacity-building, community engagement, or research projects at TCUP-eligible institutions through the following funding tracks: Instructional Capacity Excellence in TCUP Institutions (ICE-TI) projects provide support to design, implement, and assess comprehensive institutional improvements in STEM education and research capacity at TCUP-eligible institutions of higher education. By strengthening STEM education and STEM education research, successful projects will increase the number of STEM students and improve the quality of their preparation. ICE-TI projects create and/or adapt and assess innovative models and materials for teaching and learning in STEM, embody knowledge about how students learn most effectively in STEM teaching and learning activities, and bring STEM disciplinary advances into the undergraduate or graduate experience. The objective of this strand is to expand STEM degrees offered by TCUP-eligible institutions or significantly enhance instructional approaches. Targeted STEM Infusion Projects (TSIP) support the attainment of a short-term, well-defined goal to improve the quality of STEM education at an eligible institution. Targeted STEM Infusion Projects could, for example, enhance academic infrastructure by systematically adding traditional knowledge to the scope or content of a STEM course, updating curricula, modernizing laboratory research equipment, developing and delivering professional development for K-12 STEM educators, or improving the computational infrastructure.The objective of this strand is to expand STEM degrees or significantly enhance instructional approaches. TCUP for Secondary & Elementary Teachers in STEM (TSETS) supports in-service professional development in STEM disciplinary or STEM education content and/or research for K-12 STEM teachers in the relevant service area. Examples of project activities include, but are not limited to, professional development involving seminar series and engagement in STEM instruction and content during the academic year, structured series of summer intensive workshops and trainings, and summer research opportunities. The objective of this strand is to broaden the instructional capacity for STEM in the K-12 workforce and thereby to the entire community, and to build the capacity for STEM disciplinary or education research among participating educational professionals. TCU Enterprise Advancement Centers (TEA Centers) coalesce the STEM and/or STEM education expertise into a team, designed to support and promote the STEM goals, needs, aspirations, or interests of the chartering reservation or tribe(s). TEA Centers may address a critical tribal or community need or focus on a realm of research or design that is beyond the scope of individual research grants or that is of interest to multiple tribes. The objective of this strand is to build on the capacity developed through prior TCUP support and apply expertise to collaborations with communities in the institution's service area, or nationally. The Cyberinfrastructure Health, Assistance, and Improvements (CHAI) strand supports projects at TCUP-eligible institutions of higher education to upgrade the cyberinfrastructure necessary to conduct, expand, manage and administer STEM programs of study, including research. The objective of this strand is to equip TCUP institutions to meet the demands of virtual instruction, advanced computing, and data science opportunities. Preparing for TCUP Implementation (Pre-TI) provides support for activities that prepare an institution for Implementation-level projects.Consequently, they are available only to TCUP-eligible institutions of higher education that have never received TCUP support, have not received TCUP support within the previous five years, or are embarking on a significantly novel STEM strategic plan. Examples of supported activities include completing an institutional assessment of its current STEM instructional capacity, or engaging in conversations necessary to formulate a shared vision of what that capacity should be and how to achieve it. Pre-TI awards can support staff and faculty release time, travel, stakeholder gatherings, and associated administrative costs.The objective of this strand is to conduct self-studies and formulate strategic plans for the development of STEM instructional programs of study. The TCUP Partnerships strand provides support for collaborations that will improve TCUP institutions' instructional and research capacity in STEM fields supported by NSF; attract, retain, and support TCUP students in internships and research endeavors deemed to be necessary for a complete curriculum offering; and engage partner universities to provide an academic grounding and a successful transition for students who wish to study or attain degrees in STEM fields supported by NSF. TCUP Partnerships broaden the number of scientific disciplines available to students at TCUP institution through collaborations with non-TCUP institutions. Active Pre-Engineering Education Collaboratives or Partnerships in Geoscience Education awards are not affected by this revision. The objective of this strand is the development, through instructional and research capacity-building, of academic and career pathways for TCUP students through supporting collaborative projects between and among TCUP and non-TCUP institutions. Interested teams of collaborators for which a TCUP institution serves as lead should contact the TCUP program directors. Support for non-TCUP partners must be obtained from other NSF programs, which follows the procedures of the prior Partnership strands. Small Grants for Research (SGR) strand support STEM or STEM Education faculty members at TCUP-eligible institutions to initiate or pursue research projects or programs that may include undergraduate or graduate student engagement. Awards are intended to help further the faculty member's research capability and effectiveness; improve research and teaching at his or her home institution and create and study new models and innovations in STEM teaching and learning. International research or collaborations are strongly encouraged. TCUP students may seek support for international research opportunities under the guidance of a TCUP STEM or STEM education faculty member and an international research collaborator. These awards are particularly appropriate as a means of recruiting and retaining highly qualified scientists, engineers, and educators at TCUP-eligible institutions. The objective of this strand is to support faculty research and professional development that build research capacity at TCUP institutions. [1] Executive Order 13021 defines Tribal Colleges and Universities (""tribal colleges"") as those institutions cited in section 532 of the Equity in Educational Land-Grant Status Act of 1994 (7 U.S.C. 301 note), and other institutions that qualify for funding under the Tribally Controlled Community College Assistance Act of 1978, (25 U.S.C. 1801 et seq.), as well as Navajo Community College as authorized in the Navajo Community College Assistance Act of 1978, Public Law 95-471, Title II (25 U.S.C. 640a note). The term ""Alaska Native-serving institution"" means an institution of higher education that is an eligible institution under section 1058(b) of the Higher Education Act; and that, at the time of submission, has an undergraduate enrollment that is at least 20 percent Alaska Native students. The term ""Native Hawaiian-serving institution"" means an institution of higher education that is an eligible institution under section 1058(b) of the Higher Education Act; and that, at the time of submission, has an undergraduate enrollment that is at least 10 percent Native Hawaiian students. Most TCUP-eligible institutions of higher education are two-year or community colleges. See the Who May Submit Proposals section in this solicitation for further details."
"U.S. National Science Foundation Research Traineeship (NRT) Program","U.S. National Science Foundation","","2026-09-08","2024-08-17","3000000","53000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-597","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24597","learning; evidence; workforce; stem; workforce development; skills; science; technology","The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based master's and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners. NRT especially welcomes proposals that reflect collaborations between NRT proposals and existing NSF Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative , Research Experiences for Undergraduates (REU) , Louis Stokes Alliances for Minority Participation (LSAMP) , NSF Scholarships in Science, Technology, Engineering, and Mathematics (S-STEM) , and NSF STEM Ed Organizational Postdoctoral Fellowship program (STEM Ed OPRF) projects, provided the collaboration will strengthen both projects. Researchers at minority serving institutions and emerging research institutions are strongly encouraged to submit proposals. Collaborations between NRT proposals and existing NSF INCLUDES projects should strengthen both NRT and INCLUDES projects."
"IUSE/Professional Formation of Engineers: Revolutionizing Engineering Departments","U.S. National Science Foundation","","2026-09-08","2024-04-05","2000000","8000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-564","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24564","artificial intelligence; learning; evidence; implementation; stem; higher education; undergraduate; skills","Revolutionizing Engineering Departments (hereinafter referred to as RED) is designed to build upon previous efforts in engineering education research. Specifically, previous and ongoing evaluations of the NSF Engineering Education and Centers Division program and its predecessors, as well as those related programs in the Directorate for STEM Education, have shown that prior investments have significantly improved the first year of engineering students' experiences, incorporating engineering material, active learning approaches, design instruction, and a broad introduction to professional skills and a sense of professional practice - giving students an idea of what it means to become an engineer. Similarly, the senior year has seen notable change through capstone design experiences, which ask students to synthesize the technical knowledge, skills, and abilities they have gained with professional capacities, using reflective judgment to make decisions and communicate these effectively. However, this ideal of the senior year has not yet been fully realized, because many of the competencies required in capstone design, or required of professional engineers, are only partially introduced in the first year and not carried forward with significant emphasis through the sophomore and junior years. The Directorates for Engineering (ENG) and STEM Education (EDU) are funding projects as part of the RED program, in alignment with the Improving Undergraduate STEM Education (IUSE) framework and Professional Formation of Engineers (PFE) initiative. These projects are designing revolutionary new approaches to engineering education, ranging from changing the canon of engineering to fundamentally altering the way courses are structured to creating new departmental structures and educational collaborations with industry. A common thread across these projects is a focus on organizational and cultural change within the departments, involving students, faculty, staff, and industry in rethinking what it means to provide an engineering program. In order to continue to catalyze revolutionary approaches, while expanding the reach of those that have proved efficacious in particular contexts, the RED program supports four tracks: RED Planning (Track 1), RED Adaptation and Implementation (Track 2), RED Innovation (Track 3), and RED Innovation Partnerships (Track 4). Two- and four-year institutions are encouraged to submit to any track as appropriate for their goals and context. RED Planning (Track 1) projects will support capacity-building activities at institutions of special interest to NSF's mission, specifically two-year engineering-centered programs building transfer partnerships, two-year or four-year institutions in EPSCoR jurisdictions, Primarily Undergraduate Institutions (PUIs), and Institutions of Higher Education (IHEs)seeking to level the number of degrees acrossof the full spectrum of diverse talent in engineering. Planning projects should provide the support for such institutions to explore the development of a RED Projects in Tracks 2, 3, & 4. RED Adaptation and Implementation (Track 2) projects will adapt and implement evidence-based organizational change strategies and actions to the local context, which helps propagate this transformation of undergraduate engineering education. RED Innovation (Track 3) projects will develop new, revolutionary approaches and change strategies that enable the transformation of undergraduate engineering education. RED Innovation Partnerships (Track 4) projects will achieve the same goals as Track 3 projects across multiple institutions. Of particular interest to this track are projects partnering two-year institutions with other eligible institutions. Projects in tracks 2, 3, & 4 will include consideration of the cultural, organizational, structural, and pedagogical changes needed to transform one or more departments to ones in which students are engaged, develop their technical and professional skills, and establish identities as professional engineers or technologists. The focus of projects in these tracks should be on the department's disciplinary courses and program. RED project initiatives are expected to be institutionalized at the end of the funding period. Proposals are especially encouraged that address areas of increased national interest including but not limited to advanced manufacturing, advanced wireless, artificial intelligence, biotechnology, microelectronics and semiconductors, net zero technologies, sustainability, systems engineering, and quantum engineering."
